Portfolio,Entity,BodyType,Url
Social Services,Australian Institute of Family Studies (AIFS),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/social-services/australian-institute-of-family-studies-aifs/australian-institute-of-family-studies-annual-report-2023-24/appendices/appendix-d%3A-acronyms-and-abbreviations
"Climate Change, Energy, the Environment and Water",Australian Institute of Marine Science,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-institute-of-marine-science/australian-institute-of-marine-science-annual-report-2023-24/chapter-6%3A-appendices-and-indexes/index%3A-acronyms
"Industry, Innovation and Science",Australian Nuclear Science and Technology Organisation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-innovation-and-science/australian-nuclear-science-and-technology-organisation/australian-nuclear-science-and-technology-organisation-annual-report-2023-24/appendices-and-index/glossary
Treasury,Australian Office of Financial Management (AOFM),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-office-of-financial-management-aofm/australian-office-of-financial-management-annual-report-2023-24/part-5%3A-aids-to-access/glossary-of-abbreviations
Agriculture,Australian Pesticides and Veterinary Medicines Authority (APVMA),Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements/acronyms-and-abbreviations
Agriculture,Australian Pesticides and Veterinary Medicines Authority (APVMA),Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements/glossary
Prime Minister and Cabinet,Australian Public Service Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-public-service-commission/australian-public-service-commission-annual-report-2023-24/appendices/appendix-b%3A-glossary-of-abbreviations-and-acronyms
Health,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/abbreviations
Health,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/glossary
Treasury,Australian Reinsurance Pool Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/acronyms-and-abbreviations
Treasury,Australian Reinsurance Pool Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/glossary
Education,Australian Research Council,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/glossary
Education,Australian Research Council,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/abbreviations-and-acronyms
Home Affairs,Australian Security Intelligence Organisation,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary
Home Affairs,Australian Security Intelligence Organisation,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms
"Education, Skills and Employment",Australian Skills Quality Authority (National Vocational Education and Training Regulator),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/acronyms-and-abbreviations
"Education, Skills and Employment",Australian Skills Quality Authority (National Vocational Education and Training Regulator),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/glossary
Defence,Australian Strategic Policy Institute Ltd,Commonwealth Company,https:/www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24/annexes/annex-l%3A-acronyms-and-abbreviations
Defence,Australian Submarine Agency,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms
Treasury,Australian Taxation Office,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/abbreviations
Treasury,Australian Taxation Office,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/glossary
"Infrastructure, Transport, Cities and Regional Development",Australian Transport Safety Bureau (ATSB),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24/appendices/appendix-v%3A-glossary
"Agriculture, Water and the Environment",Bureau of Meteorology,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24/section-6---appendices/glossary
"Climate Change, Energy, the Environment and Water",Clean Energy Finance Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/abbreviations
"Climate Change, Energy, the Environment and Water",Clean Energy Finance Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/glossary
Attorney-General's,Coal Mining Industry (Long Service Leave Funding) Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24/-part-5.-appendices/glossary-and-acronyms
Treasury,Commonwealth Grants Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/commonwealth-grants-commission/commonwealth-grants-commission-annual-report-2023-24/reference-material/glossary-of-acronyms-and-initialisms
"Industry, Innovation and Science",Commonwealth Scientific and Industrial Research Organisation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/acronyms
"Industry, Innovation and Science",Commonwealth Scientific and Industrial Research Organisation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/glossary
Agriculture,Cotton Research and Development Corporation,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24/section-6%3A-appendices/appendix-7%3A-abbreviations-list
Defence,Defence Housing Australia,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24/part-6---appendices-and-reference-information/appendix-i---acronyms-and-abbreviations
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24/part-6%3A-aids-to-access/glossary
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24/part-7-%E2%80%93-aids-to-access/abbreviations-and-acronyms
Education [i],Department of Education [i],Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report/indexes/abbreviations-and-acronyms
Employment and Workplace Relations,Department of Employment and Workplace Relations,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24/chapter-6---indexes/abbreviations-and-acronyms
Health and Aged Care,Department of Health and Aged Care,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Health and Aged Care,Department of Health and Aged Care,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/glossary
Home Affairs,Department of Home Affairs,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/glossary
Home Affairs,Department of Home Affairs,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/abbreviations-and-acronyms
"Industry, Science and Resources","Department of Industry, Science and Resources",Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24/chapter-5%3A-appendices/abbreviations-and-acronyms
"Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
"Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/glossary
Parliamentary Departments (not a portfolio),Department of Parliamentary Services,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/acronyms-and-abbreviations
